"Spkid","Surname","Name","Spec.type","OCC","Diameter (km)","Launch date (one-way)","Min total dv (km/s)","TOF (days)","Launch date (round-trip)","Min total dv (km/s)","Mission duration (days)","Stay (days)"
"2100756","1998 FM5","","S","0","1,93 ÷ 4.31","2038-10-20","11.57","120","2038-10-20","20.00","338","8"
"2100926","1998 MQ","","S","0","1,174","2039-10-23","12.87","440","2029-08-08","24.39","448","28"
"2101955","1999 RQ36","Bennu","B","0","0,492","2036-11-23","5.27","130","2036-03-14","7.09","368","8"
"2136564","1977 VA","","X","0","0,4","2033-05-15","7.11","190","2033-05-29","14.74","428","8"
"2136745","1995 WL8","","Sq","0","0,85 ÷ 1.91","2035-08-01","13.45","130","2035-08-17","25.04","443","23"
"2136793","1997 AQ18","","C","0","0,75 ÷ 1.68","2034-09-15","11.61","160","2034-10-01","16.56","448","43"
"2136795","1997 BQ","","S","0","0,80 ÷ 1.80","2026-08-08","10.40","250","2026-12-12","16.86","338","8"
"2136993","1998 ST49","","Q","0","0,96 ÷ 2.14","2040-11-18","13.47","240","2040-02-02","24.46","433","28"
"2137052","1998 VO33","Tjelvar","V","0","1,39 ÷ 3.11","2037-08-06","15.70","220","2044-08-29","22.92","448","13"
"2137062","1998 WM","","Sq","0","1,265","2041-05-13","10.63","270","2032-11-10","17.74","368","53"
"2137064","1998 WP5","","Sl","0","0,57 ÷ 1.28","2038-04-03","10.57","300","2027-04-11","18.05","383","8"
"2137126","1999 CF9","","Q","0","0,86 ÷ 1.93","2046-06-20","10.42","230","2045-09-23","16.76","338","8"
"2137158","1999 FB","","Q","0","0,91 ÷ 2.03","2044-10-20","9.89","350","2039-12-14","16.82","448","13"
"2137170","1999 HF1","","X","0","4,20 ÷ 9.40","2036-08-11","18.27","200","2036-08-11","22.87","378","18"
"2137799","1999 YB","","Sq","0","0,66 ÷ 1.48","2037-10-09","5.15","240","2034-10-31","10.60","443","8"
"2137805","1999 YK5","","X","0","2,243","2042-04-06","16.35","340","2046-03-22","19.88","338","8"
"2137925","2000 BJ19","","Q","0","2,20 ÷ 4.91","2038-08-01","14.24","410","2034-10-01","27.12","448","13"
"2138205","2000 EZ148","","S","0","3,58 ÷ 8.00","2032-10-03","12.79","410","2049-10-02","21.45","338","8"
"2138258","2000 GD2","","Sq","0","0,52 ÷ 1.16","2030-09-12","16.47","200","2032-03-15","24.23","368","8"
"2138325","2000 GO82","","S","0","1,55 ÷ 3.48","2041-10-04","17.19","440","2035-03-10","31.71","378","33"
"2138524","2000 OJ8","","Sr","0","1,57 ÷ 3.51","2028-12-27","8.66","340","2040-02-12","18.40","443","8"
"2138893","2000 YH66","","Xk","0","0,84 ÷ 1.87","2026-05-12","14.24","430","2042-12-18","21.27","378","48"
"2138911","2001 AE2","","T","0","0,48 ÷ 1.08","2047-08-26","4.17","260","2044-12-27","9.64","428","8"
"2139056","2001 FY","","S","0","0,32","2046-06-28","7.92","440","2045-01-26","16.81","413","8"
"2139622","2001 QQ142","","Sq","0","0,72 ÷ 1.61","2040-12-04","6.71","370","2045-01-06","10.55","353","8"
"2141052","2001 XR1","","Sq","0","1,15 ÷ 2.58","2045-04-22","14.46","440","2041-01-07","19.78","368","8"
"2141079","2001 XS30","","Xc","0","1,00 ÷ 2.23","2038-05-29","14.87","370","2032-08-12","24.37","448","13"
"2152560","1991 BN","","Q","0","0,52 ÷ 1.16","2028-09-22","7.43","200","2027-09-28","11.39","428","8"
"2152563","1992 BF","","Xc","0","0,272","2048-06-25","6.21","260","2029-07-19","9.77","388","28"
"2152679","1998 KU2","","Cb","0","4,167","2034-10-09","9.52","390","2042-05-02","17.27","353","8"
"2152756","1999 JV3","","S","0","0,57 ÷ 1.29","2029-08-24","11.79","420","2027-05-01","18.77","373","13"
"2152931","2000 EA107","","Q","0","1,646","2043-05-19","19.72","280","2044-05-11","22.41","363","18"
"2152978","2000 GJ147","","S","0","0,531","2040-06-11","13.25","180","2039-11-24","16.99","363","33"
"2153002","2000 JG5","","S","0","0,79 ÷ 1.76","2045-02-17","23.06","160","2045-02-15","30.42","443","8"
"2153201","2000 WO107","","X","0","0,51","2040-08-14","15.08","190","2040-08-30","18.60","448","28"
"2153953","2002 AD9","","L","0","1,55 ÷ 3.48","2048-10-15","13.90","390","2032-03-15","32.06","393","33"
"2161989","1978 CA","Cacus","S","0","1,9","2040-07-13","14.30","270","2040-07-11","16.62","423","33"
"2162011","1994 AB1","Konnohmaru","Sq","0","1,69 ÷ 3.78","2045-01-08","9.81","400","2049-12-21","21.73","413","8"
"2162015","1994 TF2","","Sr","1","0,50 ÷ 1.11","2049-12-29","14.29","410","2025-09-28","37.76","428","8"
"2162142","1998 VR","","Sk","0","0,61 ÷ 1.36","2043-05-27","11.22","180","2043-05-27","16.12","348","33"
"2162157","1999 CV8","","V","0","0,37 ÷ 0.84","2035-10-28","10.88","440","2028-12-31","14.02","393","48"
"2162173","1999 JU3","Ryugu","Cg","0","0,45 ÷ 1.02","2033-12-17","4.42","160","2046-05-11","7.06","383","8"
"2162385","2000 BM19","","O","0","0,69 ÷ 1.55","2047-05-06","9.00","240","2031-05-10","13.96","353","8"
"2162567","2000 RW37","","C","0","0,335","2029-01-28","8.09","310","2046-03-12","11.73","353","8"
"2162740","2000 WF6","","Sq","1","0,72 ÷ 1.60","2033-01-07","19.18","440","2027-06-30","34.98","353","8"
"2162781","2000 XL44","","S","0","0,96 ÷ 2.15","2041-02-22","10.77","440","2043-09-04","23.00","428","8"
"2162998","2001 SK162","","T","0","0,875","2025-03-14","6.62","330","2025-04-11","14.60","428","8"
"2163014","2001 UA5","","Sq","0","0,99 ÷ 2.20","2032-12-14","8.12","250","2032-03-25","15.01","423","18"
"2171839","2001 JM1","","S","0","0,52 ÷ 1.16","2040-04-16","9.56","390","2030-11-21","17.91","353","8"
"2175706","1996 FG3","","C","0","1,196","2025-07-28","5.63","290","2037-09-15","7.43","443","8"
"2175729","1998 BB10","","Sq","0","0,28 ÷ 0.63","2040-11-10","10.92","120","2040-01-23","14.71","363","18"
"2189040","2000 MU1","","S","0","0,36 ÷ 0.81","2045-04-06","10.02","140","2044-07-30","14.81","368","8"
"2192563","1998 WZ6","","V","0","1,22 ÷ 2.72","2043-04-01","14.44","420","2040-12-08","22.02","358","13"
"2194006","2001 SG10","","X","0","0,30 ÷ 0.67","2029-03-01","8.35","100","2029-03-11","12.28","388","13"
"2194268","2001 UY4","","X","0","1,244","2036-07-26","14.01","270","2039-12-04","22.44","423","18"
"2194386","2001 VG5","","Sq","0","1,43 ÷ 3.20","2030-03-28","13.77","140","2043-12-03","22.98","358","13"
"2200754","2001 WA25","","S","0","0,68 ÷ 1.53","2030-10-06","13.93","390","2036-06-12","19.84","383","8"
"2200840","2001 XN254","","S","0","1,10 ÷ 2.46","2029-04-26","8.21","440","2047-06-15","15.74","383","8"
"2203015","1999 YF3","","Sq","0","0,67 ÷ 1.50","2031-01-02","12.71","330","2028-10-22","23.76","443","68"
"2205744","2002 BK25","","Sk","0","0,79 ÷ 1.76","2047-07-17","15.29","230","2046-06-30","23.84","433","43"
"2207970","1996 BZ3","","X","0","0,82 ÷ 1.84","2025-10-08","9.76","130","2025-09-18","19.89","428","8"
"2208023","1999 AQ10","","S","0","0,27 ÷ 0.61","2034-04-16","6.40","340","2044-08-29","8.68","358","28"
"2215188","2000 NM","","Sr","0","2,78 ÷ 6.21","2044-09-10","15.57","160","2043-12-13","27.72","373","13"
"2219071","1997 US9","","Q","0","0,657","2039-04-30","9.76","220","2036-10-30","16.90","388","118"
"2222165","2000 AX93","","Sq","0","1,00 ÷ 2.24","2036-02-01","13.46","290","2035-06-08","24.66","398","8"
"2228368","2000 WK10","","X","0","0,68 ÷ 1.52","2043-08-31","17.61","260","2039-12-14","27.31","443","53"
"2257838","2000 JQ66","","R","0","0,90 ÷ 2.02","2040-09-15","9.86","420","2035-02-28","22.29","413","8"
"2276049","2002 CE26","","C","0","3,5","2044-10-12","19.03","250","2044-03-12","34.18","358","28"
"2283460","2001 PD1","","K","0","0,78 ÷ 1.75","2043-12-13","9.56","400","2031-06-19","19.55","413","8"
"2285540","2000 GU127","","S","0","0,68 ÷ 1.53","2039-03-13","15.01","350","2048-12-06","26.19","448","28"
"2302311","2002 AA","","Sq","0","0,45 ÷ 1.01","2028-08-05","9.16","400","2033-11-05","12.76","433","58"
"2307161","2002 DY3","","Xk","0","0,72 ÷ 1.60","2035-03-02","11.84","370","2032-12-20","20.73","448","43"
"2308635","2005 YU55","","C","0","0,4","2046-07-22","6.57","320","2040-01-23","9.23","433","13"
"2310402","1999 EE5","","S","0","0,72 ÷ 1.60","2025-03-30","13.57","300","2039-08-26","25.30","388","13"
"2322652","1999 JO8","","S","0","1,42 ÷ 3.17","2025-07-12","13.47","410","2041-11-03","28.58","403","13"
"2322775","2001 HA8","","C","0","1,28 ÷ 2.86","2049-07-22","10.03","390","2048-11-16","22.18","413","8"
"2337866","2001 WL15","","Sk","0","0,62 ÷ 1.40","2044-01-22","7.69","340","2029-06-09","15.65","398","8"
"2344074","1997 UH9","","Sq","0","0,60 ÷ 1.33","2037-05-26","13.06","190","2031-04-10","21.81","393","48"
"2350513","2000 BG19","","X","0","1,77","2048-04-14","11.64","170","2048-02-10","24.32","383","8"
"2353938","1998 QR15","","Sq","0","0,82 ÷ 1.84","2044-09-26","10.86","260","2030-01-25","24.79","443","8"
"2354127","2002 BP26","","X","0","0,52 ÷ 1.17","2044-04-03","13.60","270","2043-08-25","24.97","378","18"
"2354182","2002 DU3","","Sq","0","0,25 ÷ 0.56","2046-04-17","7.42","420","2034-09-21","9.82","368","8"
"2357022","1999 YG3","","S","0","0,54 ÷ 1.22","2029-02-05","18.08","190","2044-07-30","24.00","353","8"
"2363067","2000 CO101","","Xk","0","0,52 ÷ 1.17","2038-09-26","8.02","180","2038-03-04","9.63","373","13"
"2370061","2000 YO29","","C","0","0,99 ÷ 2.21","2041-05-05","24.98","430","2039-05-08","37.56","403","28"
"2380188","2000 WC67","","X","0","1,312","2045-01-16","11.02","190","2044-05-21","22.43","368","8"
"2385186","1994 AW1","","Sa","0","1,04 ÷ 2.32","2044-06-22","12.25","240","2044-01-22","15.60","353","8"
"2399433","2001 YK4","","X","0","1,339","2040-10-09","11.65","440","2049-02-04","23.29","443","23"
"2401857","2000 PG3","","D","0","4,2","2034-02-19","19.92","440","2043-06-26","34.77","413","8"
"2413021","2000 SY162","","Sq","0","0,45 ÷ 1.01","2028-11-09","9.48","440","2045-04-26","23.05","428","8"
"2413038","2001 MF1","","Sk","0","1,237","2034-11-26","16.10","410","2043-11-23","29.92","413","8"
"2413123","2001 XS1","","Cb","0","0,54 ÷ 1.22","2049-12-13","12.23","370","2049-04-05","25.52","443","8"
"2415949","2001 XY10","","Sk","0","0,48 ÷ 1.07","2027-09-20","17.39","100","2027-09-28","22.26","448","43"
"2422686","2000 AC6","","Q","0","0,176","2036-07-18","5.32","180","2036-08-01","8.98","438","18"
"2437905","2001 XU30","","Sq","0","0,38 ÷ 0.84","2049-11-19","13.75","380","2027-11-17","19.98","388","13"
"2446804","1999 VN6","","C","0","0,43 ÷ 0.97","2031-12-20","11.35","220","2040-05-12","19.88","368","8"
"2455213","2001 OE84","","S","0","0,90 ÷ 2.02","2039-11-08","9.68","440","2025-05-11","20.05","443","8"
"2474158","1999 FA","","S","0","0,26 ÷ 0.57","2036-02-01","6.74","250","2045-02-05","8.41","393","33"
"2483422","2000 CE59","","L","0","0,29 ÷ 0.64","2034-07-05","7.31","290","2034-02-13","10.28","358","13"
"2483423","2000 DO1","","V","0","0,30 ÷ 0.67","2027-07-26","11.11","280","2035-12-15","18.13","433","13"
"2506437","2000 WL10","","Xc","0","0,86 ÷ 1.93","2039-10-15","13.79","220","2038-12-19","20.85","353","8"
"2506459","2002 AL14","","Ld","0","0,92 ÷ 2.07","2040-07-29","11.76","190","2040-11-08","14.03","448","163"
"2508774","1999 JE1","","Sq","0","0,39 ÷ 0.86","2037-08-14","19.42","440","2034-04-14","23.90","393","18"
"2516398","2001 HW15","","X","0","0,30 ÷ 0.67","2033-05-15","10.15","330","2049-11-01","18.16","383","8"
"2523585","1998 MW5","","Sq","0","0,43 ÷ 0.95","2029-02-05","6.62","150","2029-02-09","8.10","448","73"
"2523801","1993 TQ2","","Sa","0","0,36 ÷ 0.80","2029-03-01","8.41","390","2035-11-15","18.59","443","8"
"2523804","2000 YF29","","S","0","0,31 ÷ 0.69","2030-12-01","7.19","420","2031-06-29","12.54","408","18"
"2523805","2001 QA143","","Sk","0","0,36 ÷ 0.80","2035-10-04","9.37","120","2035-09-16","19.50","428","8"
"2523972","1999 CW8","","B","0","0,65 ÷ 1.46","2029-04-10","19.56","150","2038-07-22","26.11","383","8"
"2524150","2000 WJ10","","Xk","0","0,30 ÷ 0.67","2025-01-17","14.06","270","2027-04-21","28.67","413","23"
"2524392","2002 AU5","","X","0","1,04 ÷ 2.32","2044-10-20","11.33","350","2030-03-16","21.95","403","28"
"3005818","1991 XB","","K","0","0,60 ÷ 1.33","2026-02-13","15.79","440","2047-03-07","38.40","448","13"
"3009003","1996 FQ3","","Sq","5","0,24 ÷ 0.53","2044-06-30","7.27","380","2047-08-14","16.38","443","8"
"3009717","1997 AC11","","Xc","0","0,27 ÷ 0.61","2043-06-04","17.01","270","2036-05-23","21.59","423","18"
"3013066","1997 GL3","","V","0","0,51 ÷ 1.14","2045-01-24","13.26","300","2034-07-23","23.41","403","13"
"3010682","1997 RT","","O","1","0,38 ÷ 0.84","2034-02-03","8.52","210","2033-12-15","16.64","428","8"
"3007490","1997 TT25","","Sq","1","0,47 ÷ 1.06","2028-11-01","8.39","390","2031-08-08","19.08","418","13"
"3007925","1998 BT13","","Sq","7","0,02 ÷ 0.04","2043-02-04","7.91","390","2047-05-06","17.52","448","13"
"3013039","1998 HT31","","C","8","0,24 ÷ 0.53","2025-03-14","13.40","380","2025-11-17","25.33","448","28"
"3014182","1998 SG2","","Sq","0","0,47 ÷ 1.06","2025-09-22","8.17","300","2035-05-09","17.95","428","8"
"3019075","1999 DB2","","Sq","0","0,54 ÷ 1.22","2029-07-07","12.56","430","2040-07-31","26.54","398","8"
"3019077","1999 DY2","","Sr","6","0,14 ÷ 0.32","2030-10-06","8.72","170","2030-10-12","17.47","338","8"
"3018335","1999 FN19","","Sq","0","0,11 ÷ 0.24","2036-07-18","6.22","300","2036-07-12","10.28","368","8"
"3022035","1999 RB32","","V","0","0,31 ÷ 0.70","2028-11-09","8.72","430","2032-11-30","18.19","443","8"
"3024682","1999 SE10","","X","6","0,34 ÷ 0.77","2039-01-08","11.83","410","2045-04-16","28.27","413","8"
"3024683","1999 SK10","","Sq","0","0,37 ÷ 0.83","2036-02-09","8.80","440","2027-03-22","16.91","398","8"
"3025760","1999 YD","","Sk","6","0,21 ÷ 0.46","2049-01-03","8.13","420","2026-02-15","16.05","398","8"
"3029650","2000 AE205","","S","1","0,09 ÷ 0.19","2043-12-05","3.35","290","2048-07-09","5.96","353","8"
"3092248","2000 AH205","","Sk","2","0,10 ÷ 0.23","2032-09-01","6.79","390","2041-03-08","9.74","443","8"
"3034813","2000 CN33","","X","6","0,42 ÷ 0.94","2042-02-09","13.52","440","2045-08-14","25.07","353","8"
"3031814","2000 DO8","","S","7","0,04 ÷ 0.08","2034-08-14","8.59","220","2034-08-22","16.26","448","13"
"3036336","2000 GV127","","S","0","0,50 ÷ 1.11","2048-04-30","13.34","440","2042-09-19","24.60","383","8"
"3043880","2000 KL33","","S","1","0,39 ÷ 0.88","2043-04-01","8.88","140","2043-04-07","17.79","443","8"
"3065540","2000 WJ63","","Sq","5","0,23 ÷ 0.51","2033-02-08","9.86","430","2043-07-06","21.09","398","8"
"3076550","2000 WL63","","S","0","0,38 ÷ 0.84","2025-01-01","11.34","160","2036-12-09","17.57","368","8"
"3065824","2000 WM63","","S","2","0,36 ÷ 0.80","2048-06-09","10.29","200","2047-09-13","13.84","448","163"
"3057549","2000 YA","","Sk","0","0,06 ÷ 0.14","2034-02-27","9.85","420","2044-10-08","17.14","398","8"
"3070541","2001 EC","","Sq","1","0,68 ÷ 1.53","2025-12-11","10.51","440","2042-07-01","18.35","398","8"
"3076783","2001 HK31","","X","6","0,22 ÷ 0.48","2049-06-20","10.57","440","2038-07-02","17.45","368","8"
"3076812","2001 JV1","","Sq","1","0,17 ÷ 0.39","2041-07-08","7.44","290","2040-08-20","14.05","398","8"
"3092337","2001 SJ262","","C","0","0,34","2025-12-27","13.50","380","2026-04-06","32.51","398","8"
"3082931","2001 SG286","","D","0","0,22 ÷ 0.48","2039-07-27","8.34","150","2049-11-11","12.74","368","8"
"3092381","2001 TY44","","X","0","0,30 ÷ 0.67","2030-10-30","8.46","100","2030-10-02","17.51","418","13"
"3092385","2001 TC45","","Sq","0","0,50 ÷ 1.11","2025-01-09","13.50","190","2044-09-08","23.99","413","8"
"3092397","2001 UC5","","X","9","0,19 ÷ 0.42","2042-11-24","15.26","420","2028-05-15","33.83","338","8"
"3092496","2001 UU92","","T","0","0,33 ÷ 0.73","2046-02-28","10.77","440","2035-03-20","24.05","413","8"
"3092504","2001 WH2","","X","1","0,33 ÷ 0.73","2039-12-26","9.59","370","2036-05-13","21.02","398","8"
"3102706","2001 YE1","","T","6","0,24 ÷ 0.53","2039-03-13","8.29","140","2038-05-03","14.06","338","8"
"3102724","2002 AV","","K","0","0,23 ÷ 0.51","2032-11-20","9.78","360","2031-12-16","16.83","413","8"
"3102739","2002 AQ2","","S","0","0,65 ÷ 1.46","2040-03-15","11.95","430","2036-09-10","22.35","353","8"
"3102743","2002 AT4","","D","0","0,20 ÷ 0.44","2044-04-11","6.53","440","2029-06-19","12.92","368","8"
"3102758","2002 AK14","","V","2","0,17 ÷ 0.38","2044-08-01","9.26","180","2043-10-24","11.64","448","163"
"3102770","2002 AH29","","K","5","0,17 ÷ 0.38","2032-02-22","10.34","310","2046-06-10","19.02","398","8"
"3102771","2002 AL31","","X","7","0,04 ÷ 0.10","2030-03-20","6.84","140","2029-07-09","8.95","368","8"
"3102780","2002 BA1","","S","0","0,17 ÷ 0.38","2045-05-16","7.69","420","2048-07-19","23.55","443","8"
"3102786","2002 BM26","","X","0","0,84","2027-02-24","11.02","360","2048-08-18","23.34","368","8"
"3114018","2002 CS11","","X","6","0,18 ÷ 0.40","2028-03-14","9.92","440","2044-12-17","18.95","413","8"
"3114037","2002 CT46","","Sr","5","0,16","2042-03-05","12.18","440","2041-10-04","21.69","328","13"
"3114073","2002 DH2","","Ch","0","0,30 ÷ 0.67","2046-04-17","12.82","220","2042-06-21","21.60","443","8"
"3114075","2002 DO3","","X","6","0,14 ÷ 0.31","2040-05-10","7.40","310","2039-07-17","11.46","338","8"
"3114077","2002 DQ3","","Sq","6","0,06 ÷ 0.13","2038-02-22","4.87","380","2032-06-13","10.93","443","8"
"3114105","2002 EA","","L","8","0,11 ÷ 0.25","2031-06-19","10.54","120","2030-09-02","15.00","353","8"
"3114106","2002 EC","","X","7","0,07 ÷ 0.16","2048-03-29","7.34","430","2042-09-29","13.27","173","8"
"3448992","2009 DD45","","S","4","0,02 ÷ 0.05","2038-03-10","7.33","230","2037-08-06","11.67","393","18"